ACTIVA;
Aantal maanden;
  I. Oprichtingskosten;20
VASTE ACTIVA;21/28
 II. Immateriële vaste activa;21
III. Materiële vaste activa;22/27
      A. Terreinen en gebouwen;22
      B. Installaties, machines en uitrusting;23
      C. Meubilair en rollend materiëel;24
      D. Leasing en soortgelijke rechten;25
      E. Overige materiële vaste activa;26
      F. Activa in aanbouw en vooruitbetalingen;27
IV. Financiële vaste activa;28
     A. Verbonden ondernemingen;280/1
         1. Deelnemingen;280
         2. Vorderingen;281
     B. Ondern. waarmee een deelnemingsverhouding bestaat;282/3
         1. Deelnemingen;282
         2. Vorderingen;283
    C. Andere financiële vaste activa;284/8
         1. Aandelen;284
         2. Vorderingen en borgtochten in contanten;285/8
VLOTTENDE ACTIVA;29/58
V. Vorderingen op meer dan één jaar;29
       A. Handelsvorderingen;290
       B. Overige vorderingen;291
VI. Voorraden en bestellingen in uitvoering;3
     A. Voorraden;30/36
        1. Grond- en hulpstoffen;30/31
        2. Goederen in bewerking;32
        3. Gereed product;33
        4. Handelsgoederen;34
        5. Onroerende goederen bestemd voor verkoop;35
        6. Vooruitbetalingen;36
    B. Bestellingen in uitvoering;37
VII. Vorderingen op ten hoogste één jaar;40/41
   A. Handelsvorderingen;40
   B. Overige vorderingen;41
VIII. Geldbeleggingen;50/53
   A. Eigen aandelen;50
   B. Overige beleggingen;51/53
IX. Liquide middelen;54/58
X. Overlopende rekeningen;490/1
TOTAAL DER ACTIVA;20/58
